Filename,Timeanddates,Temp
IMG_0001.JPG,2013-08-06 1: 00: 00 PM,40c:
IMG_0002.JPG,20 13-08-06 2 : OO : 00 PM .,40c:
IMG_0003.JPG,20 13-08-06 73 : OO : 00 PM,5°C
IMG_0004.JPG,20 13-08-06 4 : OO : 00 PM 3 ,40c:
IMG_0005.JPG,2013-0806 5: 0'0: QO PM 5-mi-,3°C
IMG_0006.JPG,20 13-08-06 6 : OO : 00 PM-:-,2°C
IMG_0007.JPG,20 13-08-06 7 : OO : 00 PM,2°C
IMG_0008.JPG,20 13-08-06 8 : OO : 00 PM,2°C
IMG_0009.JPG,20 13-08-06 9 : OO : 00 PM,2°C
IMG_0010.JPG,20 13-08-06 10 : OO : 00 PM,2°C
IMG_0011.JPG,20 13-08-07 5 : OO : 00 AM,2°C
IMG_0012.JPG,20 13-08-07 6 : OO : 00 AM,2°C
IMG_0013.JPG,20 13-08-07 7 : OO : 00 AM,2°C
IMG_0014.JPG,20 13-08-07 8 : OO : 00 AM,2°C
IMG_0015.JPG,"20 13-08-07 9 : OO : 00 AM§'""w",2°C
IMG_0016.JPG,20 13-08-07 10 : OO : 00 AM,2°C
IMG_0017.JPG,20 13-08-07 1 1 : OO : 00 AM,2°C
IMG_0018.JPG,20 13-08-07 1 : OO : 00 PM,3°C
IMG_0019.JPG,"20 13-08-07 2 : OO : 00 PM ﬂ 7""- ",3°C
IMG_0020.JPG,20 13-08-07 : OO : 00 PM 7,3°C
IMG_0021.JPG,2013-08-07 4:00:00 PM,40c:
IMG_0022.JPG,2013-0807 5 : O: : 00 PM,3°C
IMG_0023.JPG,20 13-08-07 5 : OO : 070 PM'5,1°C
IMG_0024.JPG,20 13-08-07 7 : OO : 00 PM,0°C
IMG_0025.JPG,20 13-08-07 8 : OO : 00 PM,
IMG_0026.JPG,20 13-08-07 9 : OO : 00 PM,
IMG_0027.JPG,20 13-08-07 10 : OO : 00 PM,0°C
IMG_0028.JPG,20 13-08-08 5 : OO : 00 AM,1°C
IMG_0029.JPG,20 13-08-08 6 : OO : 00 AM,1°C
IMG_0030.JPG,20 13-08-08 7 : OO : 00 AM,1°C
IMG_0031.JPG,20 13-08-08 8 : OO : 00 AM,2°C
IMG_0032.JPG,20 13-08-08 9 : OO : 00 A:Ir,2°C
IMG_0033.JPG,20 13-08-08 10 : OO : 00 AM,2°C
